======================= Mutual Information =========================

   SNR        BPSK        QPSK      16 QAM      64 QAM     256 QAM
 -28.8   0.0018284   0.0019189   0.0015172   0.0014545   0.0014314
 -28.7   0.0019606   0.0019750   0.0015421   0.0014860   0.0014682
 -28.6   0.0019909   0.0020786   0.0015947   0.0015135   0.0015027
 -28.5   0.0019948   0.0020845   0.0016270   0.0015499   0.0015325
 -28.4   0.0020379   0.0020629   0.0016640   0.0015841   0.0015690
 -28.3   0.0021386   0.0021051   0.0017040   0.0016074   0.0016086
 -28.2   0.0021420   0.0021497   0.0017836   0.0016528   0.0016419
 -28.1   0.0023738   0.0022064   0.0017816   0.0017292   0.0016711
 -28.0   0.0023126   0.0022782   0.0018535   0.0017406   0.0017190
 -27.9   0.0023817   0.0022712   0.0018665   0.0017827   0.0017647
 -27.8   0.0024210   0.0023596   0.0019104   0.0018401   0.0018055
 -27.7   0.0024911   0.0024245   0.0019552   0.0018735   0.0018455
 -27.6   0.0024592   0.0025589   0.0020251   0.0019173   0.0018883
 -27.5   0.0025314   0.0025803   0.0020435   0.0019561   0.0019373
 -27.4   0.0025892   0.0026436   0.0020949   0.0019908   0.0019720
 -27.3   0.0026626   0.0025820   0.0021365   0.0020660   0.0020183
 -27.2   0.0027950   0.0027932   0.0021998   0.0021105   0.0020715
 -27.1   0.0028126   0.0027944   0.0022200   0.0021467   0.0021190
 -27.0   0.0029340   0.0029915   0.0022784   0.0021959   0.0021745
 -26.9   0.0029946   0.0029435   0.0023694   0.0022404   0.0022286
 -26.8   0.0029502   0.0030744   0.0023933   0.0022920   0.0022747
 -26.7   0.0030449   0.0030777   0.0024613   0.0023713   0.0023165
 -26.6   0.0031246   0.0030856   0.0025253   0.0023852   0.0023715
 -26.5   0.0032270   0.0032985   0.0025947   0.0024385   0.0024207
 -26.4   0.0032212   0.0032786   0.0026334   0.0025266   0.0024870
 -26.3   0.0034381   0.0034074   0.0026882   0.0025779   0.0025412
 -26.2   0.0033522   0.0035273   0.0027703   0.0026328   0.0026060
 -26.1   0.0034736   0.0035082   0.0028242   0.0026923   0.0026628
 -26.0   0.0035997   0.0035333   0.0028434   0.0027513   0.0027299
 -25.9   0.0037650   0.0036877   0.0029478   0.0028218   0.0028010
 -25.8   0.0036777   0.0037627   0.0030427   0.0029000   0.0028547
 -25.7   0.0039459   0.0039297   0.0030998   0.0029667   0.0029190
 -25.6   0.0040180   0.0039882   0.0031356   0.0030336   0.0029968
 -25.5   0.0040588   0.0040523   0.0032088   0.0030908   0.0030613
 -25.4   0.0041940   0.0042468   0.0033648   0.0031529   0.0031297
 -25.3   0.0043412   0.0042096   0.0034305   0.0032262   0.0032000
 -25.2   0.0043203   0.0043338   0.0034636   0.0032827   0.0032754
 -25.1   0.0045510   0.0043659   0.0035565   0.0033878   0.0033600
 -25.0   0.0046155   0.0045990   0.0036451   0.0034454   0.0034360
 -24.9   0.0046542   0.0047320   0.0037455   0.0035718   0.0035125
 -24.8   0.0046866   0.0048236   0.0038479   0.0036667   0.0035995
 -24.7   0.0048514   0.0048775   0.0039381   0.0037122   0.0036774
 -24.6   0.0049887   0.0049532   0.0039953   0.0038270   0.0037689
 -24.5   0.0050346   0.0052066   0.0040609   0.0038887   0.0038690
 -24.4   0.0052488   0.0052841   0.0042031   0.0039613   0.0039349
 -24.3   0.0053687   0.0053487   0.0042144   0.0040923   0.0040267
 -24.2   0.0054097   0.0054069   0.0044365   0.0041814   0.0041290
 -24.1   0.0055553   0.0055199   0.0044795   0.0042726   0.0042195
 -24.0   0.0055326   0.0057954   0.0045965   0.0043693   0.0043239
 -23.9   0.0058979   0.0057866   0.0046414   0.0044739   0.0044095
 -23.8   0.0060153   0.0059018   0.0048432   0.0045781   0.0045205
 -23.7   0.0060469   0.0061370   0.0049454   0.0046972   0.0046331
 -23.6   0.0061140   0.0062905   0.0050368   0.0048176   0.0047306
 -23.5   0.0063787   0.0064526   0.0051272   0.0049013   0.0048375
 -23.4   0.0065920   0.0065759   0.0052471   0.0050117   0.0049518
 -23.3   0.0066650   0.0067455   0.0053886   0.0051288   0.0050783
 -23.2   0.0068134   0.0069567   0.0055220   0.0052654   0.0051911
 -23.1   0.0069644   0.0070917   0.0056528   0.0053811   0.0052966
 -23.0   0.0072640   0.0070504   0.0057572   0.0055051   0.0054461
 -22.9   0.0072934   0.0073210   0.0059423   0.0056503   0.0055643
 -22.8   0.0073833   0.0074946   0.0060213   0.0057846   0.0056942
 -22.7   0.0077335   0.0076339   0.0061792   0.0059115   0.0058275
 -22.6   0.0078810   0.0077559   0.0063362   0.0060067   0.0059593
 -22.5   0.0081283   0.0081092   0.0065643   0.0061656   0.0061193
 -22.4   0.0081433   0.0081213   0.0065681   0.0062988   0.0062494
 -22.3   0.0084895   0.0084907   0.0067992   0.0064728   0.0063867
 -22.2   0.0087967   0.0086743   0.0070198   0.0066383   0.0065457
 -22.1   0.0088287   0.0089780   0.0071386   0.0067538   0.0066992
 -22.0   0.0088374   0.0089772   0.0072553   0.0069166   0.0068306
 -21.9   0.0093336   0.0092075   0.0074653   0.0070792   0.0070191
 -21.8   0.0095713   0.0094405   0.0076063   0.0072464   0.0071643
 -21.7   0.0098948   0.0097342   0.0078055   0.0074430   0.0073529
 -21.6   0.0098383   0.0099545   0.0079511   0.0075721   0.0075070
 -21.5   0.0099501   0.0100086   0.0082264   0.0077635   0.0076968
 -21.4   0.0104869   0.0105294   0.0083389   0.0079740   0.0078420
 -21.3   0.0105703   0.0107543   0.0086389   0.0081285   0.0080329
 -21.2   0.0109555   0.0108065   0.0087796   0.0083013   0.0082372
 -21.1   0.0110564   0.0113848   0.0089649   0.0085102   0.0084357
 -21.0   0.0111801   0.0115465   0.0091760   0.0087335   0.0086037
 -20.9   0.0116743   0.0117751   0.0093619   0.0089408   0.0087956
 -20.8   0.0116799   0.0117993   0.0095494   0.0091270   0.0090308
 -20.7   0.0122764   0.0122546   0.0097839   0.0093368   0.0092342
 -20.6   0.0123763   0.0125630   0.0100063   0.0095802   0.0094498
 -20.5   0.0128548   0.0126688   0.0102416   0.0097959   0.0096512
 -20.4   0.0129417   0.0132729   0.0105234   0.0100260   0.0098860
 -20.3   0.0134313   0.0134160   0.0107227   0.0102759   0.0101096
 -20.2   0.0136889   0.0137144   0.0109536   0.0105054   0.0103170
 -20.1   0.0139335   0.0141637   0.0112576   0.0107226   0.0105976
 -20.0   0.0140381   0.0143924   0.0115726   0.0109591   0.0108460
 -19.9   0.0145286   0.0146394   0.0118044   0.0112039   0.0110757
 -19.8   0.0151143   0.0150013   0.0120648   0.0114985   0.0113316
 -19.7   0.0152642   0.0153977   0.0122707   0.0117501   0.0115996
 -19.6   0.0157174   0.0158387   0.0125298   0.0120536   0.0118718
 -19.5   0.0160901   0.0161687   0.0128898   0.0123156   0.0121446
 -19.4   0.0162125   0.0165706   0.0132376   0.0125660   0.0124525
 -19.3   0.0168297   0.0169093   0.0134468   0.0128270   0.0127153
 -19.2   0.0171101   0.0171347   0.0138870   0.0131821   0.0130146
 -19.1   0.0175136   0.0176532   0.0142197   0.0134980   0.0133184
 -19.0   0.0180113   0.0180620   0.0145119   0.0137937   0.0136521
 -18.9   0.0182693   0.0185223   0.0148465   0.0140653   0.0139723
 -18.8   0.0189448   0.0187173   0.0152476   0.0144087   0.0142879
 -18.7   0.0192348   0.0192562   0.0155386   0.0147605   0.0145998
 -18.6   0.0197666   0.0198007   0.0157722   0.0150918   0.0149394
 -18.5   0.0201263   0.0201013   0.0163197   0.0154785   0.0152801
 -18.4   0.0202414   0.0205545   0.0166454   0.0158217   0.0156528
 -18.3   0.0210709   0.0210713   0.0169983   0.0161959   0.0160241
 -18.2   0.0215481   0.0218278   0.0173555   0.0166084   0.0163768
 -18.1   0.0219832   0.0221322   0.0177882   0.0169190   0.0167517
 -18.0   0.0222772   0.0228488   0.0182579   0.0173946   0.0171817
 -17.9   0.0233375   0.0233750   0.0186804   0.0177497   0.0175687
 -17.8   0.0235376   0.0236318   0.0190666   0.0182004   0.0179485
 -17.7   0.0243147   0.0243693   0.0194802   0.0185708   0.0183693
 -17.6   0.0249242   0.0248498   0.0200846   0.0190343   0.0187981
 -17.5   0.0252381   0.0253822   0.0204985   0.0194504   0.0192386
 -17.4   0.0256583   0.0260273   0.0208781   0.0199271   0.0196840
 -17.3   0.0266854   0.0265135   0.0214566   0.0203694   0.0201368
 -17.2   0.0270169   0.0273117   0.0218505   0.0208547   0.0205990
 -17.1   0.0274751   0.0280684   0.0223959   0.0212936   0.0210794
 -17.0   0.0280302   0.0281957   0.0229059   0.0218378   0.0215790
 -16.9   0.0286851   0.0290041   0.0234990   0.0223260   0.0220937
 -16.8   0.0293271   0.0298464   0.0240498   0.0228921   0.0225857
 -16.7   0.0301610   0.0305201   0.0244820   0.0233284   0.0230968
 -16.6   0.0308209   0.0313111   0.0251747   0.0238984   0.0236307
 -16.5   0.0316690   0.0318822   0.0257084   0.0244569   0.0242179
 -16.4   0.0324819   0.0326001   0.0263260   0.0250666   0.0247271
 -16.3   0.0330620   0.0337981   0.0269113   0.0256478   0.0253213
 -16.2   0.0335208   0.0343495   0.0277046   0.0261919   0.0259207
 -16.1   0.0343391   0.0347913   0.0282380   0.0268483   0.0265031
 -16.0   0.0355300   0.0357674   0.0288140   0.0274424   0.0271132
 -15.9   0.0363587   0.0365252   0.0294556   0.0280717   0.0277698
 -15.8   0.0369177   0.0372312   0.0300986   0.0287662   0.0284211
 -15.7   0.0382733   0.0381871   0.0308557   0.0293668   0.0290226
 -15.6   0.0387035   0.0389951   0.0315034   0.0301236   0.0297347
 -15.5   0.0393680   0.0400243   0.0322352   0.0309263   0.0304187
 -15.4   0.0404501   0.0412877   0.0331591   0.0314735   0.0311031
 -15.3   0.0412251   0.0420053   0.0338305   0.0321938   0.0318631
 -15.2   0.0422424   0.0429757   0.0346461   0.0329768   0.0325549
 -15.1   0.0432049   0.0436427   0.0355427   0.0337312   0.0333602
 -15.0   0.0440262   0.0447528   0.0361589   0.0344103   0.0341284
 -14.9   0.0453138   0.0457498   0.0371293   0.0353218   0.0349209
 -14.8   0.0457769   0.0471013   0.0379702   0.0361891   0.0356718
 -14.7   0.0471890   0.0482229   0.0388717   0.0369561   0.0365348
 -14.6   0.0484749   0.0492065   0.0397042   0.0378560   0.0373421
 -14.5   0.0491592   0.0502276   0.0406763   0.0386580   0.0381993
 -14.4   0.0506710   0.0514875   0.0416647   0.0396004   0.0391233
 -14.3   0.0520888   0.0527654   0.0425875   0.0405435   0.0399995
 -14.2   0.0529754   0.0536474   0.0435513   0.0414425   0.0409470
 -14.1   0.0545693   0.0546812   0.0445984   0.0424628   0.0418624
 -14.0   0.0555045   0.0564792   0.0455598   0.0433774   0.0428315
 -13.9   0.0565168   0.0576963   0.0464917   0.0443563   0.0438524
 -13.8   0.0573463   0.0590596   0.0477179   0.0453066   0.0448359
 -13.7   0.0589956   0.0604040   0.0488332   0.0464412   0.0459130
 -13.6   0.0602611   0.0613512   0.0498799   0.0474610   0.0469216
 -13.5   0.0612953   0.0631000   0.0512027   0.0486193   0.0480043
 -13.4   0.0631399   0.0644512   0.0523478   0.0496721   0.0491416
 -13.3   0.0648400   0.0657148   0.0532523   0.0509196   0.0502564
 -13.2   0.0658380   0.0670159   0.0547026   0.0520072   0.0514077
 -13.1   0.0671497   0.0688887   0.0558603   0.0532607   0.0525490
 -13.0   0.0682125   0.0704173   0.0570023   0.0544924   0.0537800
 -12.9   0.0703477   0.0720582   0.0585897   0.0556381   0.0550578
 -12.8   0.0723287   0.0736930   0.0599356   0.0569301   0.0562855
 -12.7   0.0734154   0.0759488   0.0611755   0.0583067   0.0575438
 -12.6   0.0749158   0.0771278   0.0626145   0.0595432   0.0589006
 -12.5   0.0773665   0.0785467   0.0641376   0.0609358   0.0602662
 -12.4   0.0786812   0.0807103   0.0655628   0.0624002   0.0616765
 -12.3   0.0804289   0.0825928   0.0670142   0.0639153   0.0630532
 -12.2   0.0827458   0.0841800   0.0684563   0.0652970   0.0644549
 -12.1   0.0835257   0.0864457   0.0702532   0.0668259   0.0659925
 -12.0   0.0858710   0.0883903   0.0719364   0.0682538   0.0675213
 -11.9   0.0876144   0.0901385   0.0735983   0.0699797   0.0690335
 -11.8   0.0890662   0.0929293   0.0752207   0.0715336   0.0706281
 -11.7   0.0914562   0.0947940   0.0769125   0.0730947   0.0722659
 -11.6   0.0940225   0.0965967   0.0785477   0.0748530   0.0738821
 -11.5   0.0960091   0.0989519   0.0805140   0.0765560   0.0755687
 -11.4   0.0977757   0.1012400   0.0822640   0.0782146   0.0773001
 -11.3   0.0992049   0.1033368   0.0841305   0.0799921   0.0790969
 -11.2   0.1023469   0.1051451   0.0861691   0.0819433   0.0808639
 -11.1   0.1046034   0.1078591   0.0880899   0.0837342   0.0827582
 -11.0   0.1061763   0.1101998   0.0898938   0.0856617   0.0845941
 -10.9   0.1085810   0.1125560   0.0919730   0.0876007   0.0865376
 -10.8   0.1111797   0.1150423   0.0942114   0.0896250   0.0885393
 -10.7   0.1139689   0.1177784   0.0963221   0.0916841   0.0904955
 -10.6   0.1152180   0.1205198   0.0986090   0.0938033   0.0926787
 -10.5   0.1188043   0.1227884   0.1007843   0.0959662   0.0946711
 -10.4   0.1215518   0.1258540   0.1031744   0.0980935   0.0968746
 -10.3   0.1235958   0.1282675   0.1052720   0.1003421   0.0990507
 -10.2   0.1272197   0.1319001   0.1075631   0.1025989   0.1012866
 -10.1   0.1288052   0.1351989   0.1103423   0.1050686   0.1036447
 -10.0   0.1317884   0.1368684   0.1128763   0.1073109   0.1059328
  -9.9   0.1345416   0.1407994   0.1153777   0.1097217   0.1084070
  -9.8   0.1368313   0.1432961   0.1180379   0.1121572   0.1107780
  -9.7   0.1402440   0.1468370   0.1208805   0.1147842   0.1133499
  -9.6   0.1433170   0.1502735   0.1236391   0.1173786   0.1158183
  -9.5   0.1460103   0.1534479   0.1261943   0.1200530   0.1185859
  -9.4   0.1492139   0.1564440   0.1291418   0.1226657   0.1211670
  -9.3   0.1521355   0.1608178   0.1320292   0.1254066   0.1238931
  -9.2   0.1548401   0.1634307   0.1346800   0.1283056   0.1266578
  -9.1   0.1582708   0.1670171   0.1379603   0.1310730   0.1294984
  -9.0   0.1623449   0.1713926   0.1414354   0.1342370   0.1324287
  -8.9   0.1654363   0.1747468   0.1442240   0.1372109   0.1354495
  -8.8   0.1685251   0.1786685   0.1474702   0.1403320   0.1384502
  -8.7   0.1719375   0.1825711   0.1507702   0.1435432   0.1415720
  -8.6   0.1753273   0.1861831   0.1542471   0.1466512   0.1447271
  -8.5   0.1798779   0.1899090   0.1575620   0.1501054   0.1479946
  -8.4   0.1823527   0.1947607   0.1611905   0.1530871   0.1512821
  -8.3   0.1876537   0.1984232   0.1648895   0.1566126   0.1546130
  -8.2   0.1903442   0.2030941   0.1684077   0.1600955   0.1581151
  -8.1   0.1944895   0.2077987   0.1725896   0.1636775   0.1616508
  -8.0   0.1985074   0.2119996   0.1763531   0.1674214   0.1652410
